SalePrice,LotArea,OverallQual,OverallCond,YearBuilt,1stFlrSF,2ndFlrSF,BedroomAbvGr,MSZoning,LotShape,Neighborhood,CentralAir,SaleCondition,MoSold,YrSold
105000,6120,5,7,1931,875,0,2,RM,Reg,BrkSide,Y,Normal,11,2009
222500,9505,7,5,2001,884,1151,3,RL,IR1,Gilbert,Y,Normal,5,2010
141000,7500,7,5,2004,1080,0,3,RL,Reg,SawyerW,Y,Normal,4,2008
115000,6240,5,4,1936,896,448,3,RM,Reg,BrkSide,Y,Normal,4,2006
122000,10356,5,6,1975,969,0,3,RL,Reg,CollgCr,Y,Normal,1,2007
372402,13891,8,5,2007,1710,0,2,RL,Reg,NridgHt,Y,Partial,1,2008
190000,14803,6,5,1971,1097,896,4,RL,IR1,NWAmes,Y,Normal,6,2006
235000,13500,6,7,1960,1252,0,1,RL,Reg,ClearCr,Y,Normal,3,2008
125000,11340,6,5,1923,1200,0,4,RM,Reg,OldTown,Y,Family,3,2006
79000,9600,6,5,1924,572,524,2,RL,Reg,Edwards,N,Normal,4,2008
109500,7200,5,7,1950,1040,0,2,RL,Reg,NAmes,Y,Normal,6,2006
269500,12003,8,5,2009,774,1194,4,RL,Reg,Timber,Y,Partial,5,2010
254900,12552,7,5,2004,991,956,3,FV,Reg,Somerst,Y,Normal,5,2010
320000,19378,7,5,2005,1392,1070,4,RL,IR1,Gilbert,Y,Partial,3,2006
162500,11120,6,6,1984,1232,0,3,RL,IR1,Veenker,Y,Normal,6,2008
412500,13688,9,5,2003,1572,1096,3,RL,IR1,NridgHt,Y,Normal,3,2008
220000,12182,7,5,2005,1541,0,3,RL,Reg,NridgHt,Y,Partial,5,2010
103200,5500,4,6,1956,882,0,1,RL,Reg,OldTown,Y,Normal,4,2007
152000,5400,6,7,1926,1149,467,3,RM,Reg,OldTown,Y,Normal,10,2007
127500,10106,5,7,1940,808,547,4,RL,Reg,Edwards,Y,Normal,9,2008
190000,10708,5,5,1955,1867,0,2,RL,IR1,ClearCr,Y,Normal,11,2009
325624,10562,8,5,2007,1610,551,3,RL,Reg,NridgHt,Y,Partial,11,2007
183500,8244,7,5,2004,840,880,3,RL,IR1,Gilbert,Y,Normal,5,2007
228000,16669,8,6,1981,1707,0,2,RL,IR1,Timber,Y,Normal,1,2006
128500,12358,5,6,1941,854,0,2,RM,IR1,OldTown,Y,Normal,5,2007
215000,31770,6,5,1960,1656,0,3,RL,IR1,NAmes,Y,Normal,5,2010
239000,5306,7,7,1987,1064,703,2,RL,IR1,StoneBr,Y,Normal,6,2006
163000,10197,6,5,1961,1362,0,3,RL,IR1,NAmes,Y,Normal,6,2008
184000,12416,6,5,1986,1651,0,3,RL,IR1,Timber,Y,Normal,11,2008
243000,12615,6,7,1950,2158,0,4,RL,Reg,Edwards,Y,Normal,6,2007
211000,10029,6,5,1988,1164,896,4,RL,IR1,ClearCr,Y,Normal,9,2007
172500,13650,5,5,1958,1252,668,4,RL,Reg,Sawyer,Y,Normal,7,2006
501837,17423,9,5,2008,2234,0,1,RL,IR1,StoneBr,Y,Partial,7,2009
100000,8520,5,6,1923,968,0,2,RM,Reg,OldTown,Y,Normal,7,2007
177000,2117,6,5,2000,769,756,3,FV,Reg,Somerst,Y,Normal,6,2007
200100,7588,7,6,1920,901,901,4,RL,Reg,Crawfor,Y,Normal,7,2006
120000,9060,5,6,1957,1340,0,3,RL,Reg,Edwards,Y,Normal,6,2007
200000,11426,7,5,2003,1362,720,3,RM,Reg,OldTown,Y,Normal,6,2008
127000,7438,5,8,1908,936,316,3,RL,IR1,BrkSide,Y,Normal,6,2006
475000,22950,10,9,1892,1518,1518,4,RM,IR2,OldTown,Y,Normal,6,2006
173000,9947,7,5,1990,1217,0,3,RL,IR1,Mitchel,Y,Normal,6,2009
135000,10410,5,7,1916,808,704,3,RL,Reg,OldTown,Y,Normal,8,2009
153337,7018,5,5,1979,1224,0,2,RL,Reg,SawyerW,Y,Alloca,6,2009
286000,4923,8,5,2001,1593,0,0,RL,Reg,StoneBr,Y,Normal,8,2008
315000,10570,8,8,1932,1549,1178,3,RL,Reg,Crawfor,Y,Normal,12,2007
184000,7472,7,9,1972,725,754,4,RL,IR1,NAmes,Y,Normal,6,2007
192000,9017,7,5,1999,1431,0,3,RL,IR1,CollgCr,Y,Normal,9,2009
130000,2522,7,5,2004,970,739,3,RM,Reg,Edwards,Y,Normal,5,2006
127000,7180,5,7,1972,864,0,3,RL,IR1,CollgCr,Y,Normal,5,2008
148500,2280,6,6,1976,855,601,3,RL,Reg,NPkVill,Y,Normal,7,2009
311872,9416,7,5,2007,1726,0,3,RL,Reg,Somerst,Y,Partial,9,2007
235000,25419,8,4,1918,1360,1360,4,RL,Reg,NAmes,Y,Abnorml,3,2006
104000,5520,6,6,1912,929,929,5,RM,Reg,OldTown,Y,Abnorml,7,2009
274900,9591,8,5,2004,1713,0,3,RL,Reg,NridgHt,Y,Normal,1,2009
140000,8546,4,5,2003,1121,0,2,RM,Reg,Edwards,Y,Normal,3,2010
171500,10125,6,6,1977,1279,0,3,RL,Reg,Mitchel,Y,Normal,2,2008
112000,7000,6,6,1924,865,445,2,RL,Reg,OldTown,Y,Normal,5,2006
149000,4438,6,5,2004,848,0,1,RM,Reg,CollgCr,Y,Normal,1,2008
110000,3500,5,7,1947,720,564,2,RM,Reg,OldTown,Y,Normal,4,2009
180500,11851,7,5,1990,1442,0,3,RL,Reg,Gilbert,Y,Normal,5,2009
143900,13673,5,5,1962,1696,0,3,RL,IR1,Sawyer,Y,Normal,3,2007
141000,12493,4,5,1960,1100,0,3,RL,IR1,NAmes,Y,Normal,4,2008
277000,14364,7,5,1988,1180,882,3,RL,IR1,SawyerW,Y,Normal,4,2007
145000,8250,6,7,1964,1092,0,3,RL,Reg,NAmes,Y,Normal,7,2008
98000,5604,5,6,1925,864,0,2,RL,Reg,Edwards,N,Normal,4,2008
186000,10420,6,5,2009,1212,0,3,RL,Reg,Edwards,Y,Normal,3,2010
252678,8640,7,5,2009,932,920,3,FV,Reg,Somerst,Y,Partial,7,2009
156000,13568,5,5,1995,990,0,3,RL,IR2,CollgCr,Y,Normal,7,2006
161750,10900,6,7,1977,689,703,3,RL,IR1,CollgCr,Y,Normal,3,2010
134450,10011,5,6,1957,1236,0,2,RL,IR1,NAmes,Y,Normal,5,2006
210000,8450,7,5,2004,1436,0,3,RL,Reg,CollgCr,Y,Normal,4,2008
107000,9906,4,4,1925,810,518,3,RM,Reg,OldTown,N,Family,9,2006
311500,15660,7,9,1939,1137,817,3,RL,IR1,Crawfor,Y,Normal,5,2008
167240,3010,7,5,2005,1248,0,2,RL,Reg,Blmngtn,Y,Partial,3,2006
204900,8990,7,5,2006,1498,0,2,RL,IR1,CollgCr,Y,Partial,4,2006
200000,8068,6,5,2002,1010,1257,4,RL,IR1,Gilbert,Y,Normal,12,2009
179900,11475,6,6,1975,811,741,3,RL,Reg,NWAmes,Y,Normal,2,2006
97000,10500,4,6,1971,864,0,2,RL,Reg,NAmes,Y,Abnorml,3,2009
386250,13472,10,5,2003,2392,0,3,RL,Reg,NridgHt,Y,Normal,6,2009
112000,1680,5,5,1971,630,672,3,RM,Reg,BrDale,Y,Abnorml,5,2009
290000,9950,7,5,1995,1214,1306,4,RL,IR1,NoRidge,Y,Abnorml,6,2007
106000,1869,6,6,1970,483,504,2,RM,Reg,BrDale,Y,Normal,9,2008
125000,8521,5,5,1967,912,0,3,RL,Reg,Sawyer,Y,Normal,5,2010
192500,3182,7,5,2005,1555,0,2,RL,Reg,Blmngtn,Y,Normal,5,2009
148000,8760,6,6,1959,1194,0,3,RL,Reg,NAmes,Y,Normal,4,2010
403000,15138,8,5,1995,1490,1304,4,RL,IR1,NoRidge,Y,Normal,7,2009
94500,1680,6,5,1972,483,504,2,RM,Reg,BrDale,Y,Normal,6,2006
128200,10650,5,6,1976,894,0,3,RL,Reg,CollgCr,Y,Normal,2,2010
216500,7851,6,5,2002,860,1100,4,RL,Reg,Gilbert,Y,Normal,5,2010
89500,1680,6,3,1971,483,504,2,RM,Reg,BrDale,Y,Normal,8,2008
185500,8773,7,5,2004,1414,0,3,RL,Reg,CollgCr,Y,Normal,5,2010
194500,9453,7,7,1993,1014,730,3,RL,IR1,SawyerW,Y,Normal,2,2010
318000,12030,8,5,2007,1694,0,3,RL,Reg,NridgHt,Y,Partial,12,2007
113000,8741,6,4,1945,798,689,3,RL,Reg,Edwards,Y,Normal,4,2010
262500,9000,8,5,2008,1566,0,3,FV,Reg,Somerst,Y,Normal,4,2010
110500,3880,5,9,1945,866,0,2,RM,Reg,OldTown,Y,Normal,8,2007
79000,5000,5,4,1900,889,551,3,RM,Reg,OldTown,N,Normal,4,2006
120000,10762,6,6,1980,626,591,3,RL,Reg,SawyerW,Y,Normal,4,2009
205000,8880,7,5,1994,1222,888,3,RL,IR1,SawyerW,Y,Normal,5,2010
241500,10400,7,5,1988,1872,0,3,RL,Reg,NWAmes,Y,Normal,6,2006
137000,9142,6,8,1910,908,1020,4,RM,Reg,OldTown,N,Normal,4,2006
140000,11310,6,5,1954,1375,0,2,RL,Reg,NAmes,Y,Normal,6,2006
180000,11317,7,5,2003,840,828,3,RL,Reg,CollgCr,Y,Normal,9,2007
277000,159000,6,7,1958,1444,700,4,RL,IR2,ClearCr,Y,Normal,6,2007
76500,5350,3,2,1940,1306,0,3,RL,IR1,BrkSide,Y,Normal,5,2010
235000,4750,8,5,2006,1625,0,2,RM,IR1,Crawfor,Y,Family,12,2007
173000,8366,6,5,2004,798,842,3,RL,IR1,SawyerW,Y,Normal,12,2008
158000,9350,6,7,1964,1302,0,3,RL,Reg,NAmes,Y,Normal,10,2007
145000,8400,5,6,1957,1314,0,3,RL,Reg,NAmes,Y,Normal,6,2010
230000,8738,7,5,1999,1005,1286,4,RL,IR1,Gilbert,Y,Normal,2,2006
207500,8791,6,5,2003,864,864,3,FV,IR1,Somerst,Y,Normal,5,2008
220000,8814,7,5,2006,1604,0,3,RL,Reg,CollgCr,Y,Abnorml,3,2009
231500,12435,7,5,2001,963,829,3,RL,Reg,CollgCr,Y,Normal,5,2008
97000,12702,5,5,1956,882,0,2,RM,Reg,OldTown,Y,Normal,12,2008
176000,19296,6,5,1962,1382,0,3,RL,Reg,NAmes,Y,Normal,5,2009
276000,9588,8,5,2007,1482,1092,3,RL,IR1,CollgCr,Y,Partial,11,2007
151000,8471,6,7,1977,1212,0,3,RL,IR1,Sawyer,Y,Normal,7,2006
130000,5500,5,7,1929,926,0,3,RM,Reg,OldTown,Y,Normal,4,2010
73000,5232,5,5,1925,764,0,2,RM,IR3,OldTown,N,Normal,6,2008
175500,12090,6,6,1981,1422,0,3,RL,IR1,NWAmes,Y,Normal,6,2008
185000,11207,6,5,1997,802,709,3,RL,IR1,Gilbert,Y,Normal,6,2006
179500,8400,5,8,1939,1052,720,4,RL,Reg,SWISU,Y,Normal,7,2008
120500,6900,5,6,1940,778,0,2,RM,Reg,IDOTRR,Y,Normal,2,2008
148000,7917,6,7,1976,1113,0,3,RL,IR1,Edwards,Y,Normal,5,2007
266000,10728,8,5,2006,1095,844,3,FV,Reg,Somerst,Y,Partial,8,2006
241500,39104,7,7,1954,1363,0,2,RL,IR1,ClearCr,Y,Normal,4,2008
290000,11764,8,7,1999,1164,1106,4,RL,IR1,NoRidge,Y,Normal,4,2010
139000,9600,6,6,1958,1632,0,3,RL,Reg,NAmes,Y,Normal,4,2009
124500,8314,5,7,1982,816,0,2,RL,Reg,Mitchel,Y,Normal,6,2007
205000,7264,7,7,1925,952,596,3,RL,Reg,BrkSide,N,Normal,10,2009
201000,9196,7,5,2003,1560,0,3,RL,IR1,Mitchel,Y,Normal,4,2010
141000,19138,4,5,1951,864,0,2,RL,Reg,Gilbert,Y,Normal,6,2010
415298,14450,9,5,2006,2121,0,3,RL,Reg,NridgHt,Y,Partial,5,2007
192000,10005,7,5,1977,1156,866,4,RL,Reg,ClearCr,Y,Normal,3,2008
228500,11287,7,6,1989,1175,807,3,RL,Reg,SawyerW,Y,Normal,1,2007
185000,7200,6,5,2006,1262,0,2,FV,Reg,Somerst,Y,Partial,5,2006
207500,5063,7,5,2007,1314,0,2,RL,Reg,NridgHt,Y,Normal,4,2009
244600,9612,8,5,2008,1468,0,3,RL,Reg,Somerst,Y,Partial,12,2009
179200,8012,6,5,1992,1575,0,2,RL,Reg,SawyerW,Y,Normal,7,2007
164700,4251,7,5,2006,625,625,2,FV,IR1,Somerst,Y,Partial,6,2007
159000,9786,6,7,1962,1085,649,3,RL,IR1,NAmes,Y,Normal,6,2006
88000,8125,4,4,1971,858,0,3,RL,IR1,NAmes,Y,Normal,6,2006
122000,9819,5,5,1967,900,0,3,RL,IR1,Sawyer,Y,Normal,2,2010
153575,8730,6,7,1915,698,698,3,RL,Reg,BrkSide,Y,Normal,7,2007
233230,15611,8,5,2006,1079,840,3,RL,Reg,CollgCr,Y,Partial,7,2006
135900,5687,5,6,1912,936,780,6,RL,Reg,SWISU,N,Normal,3,2008
131000,11409,5,4,1949,1148,568,3,RL,Reg,Edwards,Y,Normal,1,2009
235000,16659,7,7,1977,1468,795,3,RL,IR1,NWAmes,Y,Normal,3,2006
167000,9600,6,5,1953,1644,0,3,RL,Reg,NAmes,Y,Normal,10,2009
142500,7937,6,6,1984,1003,0,3,RL,IR1,Mitchel,Y,Normal,3,2006
152000,13710,5,5,1950,910,648,4,RM,Reg,IDOTRR,Y,Normal,6,2007
239000,7399,7,5,1997,975,975,3,FV,IR1,Somerst,Y,Normal,6,2007
175000,11700,6,6,1968,1041,702,3,RL,Reg,NWAmes,Y,Normal,6,2007
158500,14000,6,8,1950,1152,0,3,RL,Reg,Crawfor,Y,Family,8,2009
157000,15750,5,5,1953,1336,0,2,RL,Reg,Crawfor,Y,Normal,6,2006
267000,16226,8,5,1998,1210,1242,4,RL,IR3,CollgCr,Y,Normal,5,2007
205000,13704,7,5,2001,1541,0,3,RL,IR1,CollgCr,Y,Normal,1,2006
149900,9800,5,7,1972,894,0,3,RL,Reg,CollgCr,Y,Abnorml,7,2006
295000,18386,7,9,1880,1675,1818,3,RM,Reg,OldTown,Y,Normal,5,2008
305900,10386,8,5,2004,2000,0,3,RL,Reg,CollgCr,Y,Normal,7,2007
225000,13474,7,5,1990,1122,1121,4,RL,Reg,SawyerW,Y,Normal,6,2007
89500,7920,6,7,1920,1035,371,3,RM,IR1,IDOTRR,Y,Normal,3,2008
82500,12342,4,5,1940,861,0,1,RL,IR1,Edwards,Y,Normal,3,2009
360000,12378,9,5,2003,1944,0,3,RL,IR1,NridgHt,Y,Normal,11,2006
